C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/03/2017,20:00:00,REGULAR,0005390282,0007427646                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/04/2017,00:00:00,REGULAR,0005390451,0007427747                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/04/2017,04:00:00,REGULAR,0005390483,0007427759                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/04/2017,08:00:00,REGULAR,0005390502,0007427801                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/04/2017,12:00:00,REGULAR,0005390596,0007427947                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/04/2017,16:00:00,REGULAR,0005390810,0007428150                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/04/2017,20:00:00,REGULAR,0005390984,0007428357                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/05/2017,00:00:00,REGULAR,0005391123,0007428433                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/05/2017,04:00:00,REGULAR,0005391155,0007428442                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/05/2017,08:00:00,REGULAR,0005391201,0007428745                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/05/2017,12:00:00,REGULAR,0005391382,0007429370                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/05/2017,16:00:00,REGULAR,0005391669,0007429653                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/05/2017,20:00:00,REGULAR,0005392313,0007429969                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/06/2017,00:00:00,REGULAR,0005392562,0007430076                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/06/2017,04:00:00,REGULAR,0005392578,0007430086                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/06/2017,08:00:00,REGULAR,0005392623,0007430423                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/06/2017,12:00:00,REGULAR,0005392796,0007431073                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/06/2017,16:00:00,REGULAR,0005393095,0007431311                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/06/2017,20:00:00,REGULAR,0005393777,0007431602                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/07/2017,00:00:00,REGULAR,0005394032,0007431749                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/07/2017,04:00:00,REGULAR,0005394060,0007431758                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/07/2017,08:00:00,REGULAR,0005394114,0007432062                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/07/2017,12:00:00,REGULAR,0005394315,0007432716                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/07/2017,16:00:00,REGULAR,0005394620,0007432955                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/07/2017,20:00:00,REGULAR,0005395338,0007433266                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/08/2017,00:00:00,REGULAR,0005395636,0007433401                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/08/2017,04:00:00,REGULAR,0005395659,0007433422                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/08/2017,08:00:00,REGULAR,0005395697,0007433737                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/08/2017,12:00:00,REGULAR,0005395899,0007434383                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/08/2017,16:00:00,REGULAR,0005396203,0007434665                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/08/2017,20:00:00,REGULAR,0005396905,0007435016                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/09/2017,00:00:00,REGULAR,0005397163,0007435129                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/09/2017,04:00:00,REGULAR,0005397205,0007435143                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/09/2017,08:00:00,REGULAR,0005397239,0007435459                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/09/2017,12:00:00,REGULAR,0005397427,0007436120                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/09/2017,16:00:00,REGULAR,0005397754,0007436375                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/09/2017,20:00:00,REGULAR,0005398443,0007436695                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/03/2017,00:00:00,REGULAR,0005023489,0005943574                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/03/2017,04:00:00,REGULAR,0005023523,0005943583                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/03/2017,08:00:00,REGULAR,0005023544,0005943644                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/03/2017,12:00:00,REGULAR,0005023620,0005943812                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/03/2017,16:00:00,REGULAR,0005023807,0005943913                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/03/2017,20:00:00,REGULAR,0005024042,0005944008                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/04/2017,00:00:00,REGULAR,0005024174,0005944067                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/04/2017,04:00:00,REGULAR,0005024204,0005944080                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/04/2017,08:00:00,REGULAR,0005024208,0005944105                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/04/2017,12:00:00,REGULAR,0005024274,0005944227                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/04/2017,16:00:00,REGULAR,0005024487,0005944331                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/04/2017,20:00:00,REGULAR,0005024687,0005944408                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/05/2017,00:00:00,REGULAR,0005024783,0005944448                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/05/2017,04:00:00,REGULAR,0005024797,0005944453                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/05/2017,08:00:00,REGULAR,0005024831,0005944762                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/05/2017,12:00:00,REGULAR,0005025010,0005945285                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/05/2017,16:00:00,REGULAR,0005025277,0005945402                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/05/2017,20:00:00,REGULAR,0005025878,0005945563                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/06/2017,00:00:00,REGULAR,0005026069,0005945625                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/06/2017,04:00:00,REGULAR,0005026084,0005945628                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/06/2017,08:00:00,REGULAR,0005026142,0005945945                                            
